Product Title,Price,Description
Disque Dur Externe Adata Anti-Choc HD330 USB 3.2 / 1 To / Bleu,"198,000 DT","1 To - Interface USB 3.2 - Format 2.5"" - Anti-Choc - Couleur Noir - Compatible avec: Windows XP/Vista/7/8/8.1/10 Mac OS X 10.6 ou ultérieure Linux Kernel 2.6 ou ultérieure - Poids 198.8g - Dimensions 132.7 x 88.9 x 16.2 mm - Garantie 3 ans"
Antivirus Kaspersky plus / 10 postes / 1 an,"199,000 DT",Antivirus Kaspersky plus - 10 Poste - 1 an - Sécurité avancée - Anti-phishing et pare-feu inclus - Outils de performance et surveillance du disque dur - VPN illimité et gestionnaire de mots de passe ( sécurité et confidentialité de votre vie en ligne ) - Navigation privée sans interruption - Protection des données personnelles et de paiement - Optimisation des performances - Élimination des menaces existantes - Protection antipiratage
Disque Dur Externe Portable LENOVO PS6 / 512 Go SSD / Gris,"199,000 DT","Capacité: 512 Go - Interface: USB 3.2 - Type de stockage: SSD - Vitesse de lecture: 550 Mo/s - Vitesse d'écriture: 500 Mo/s - Câble 30 cm - Type de connexion: Câble USB-C vers USB-C - Le corps en métal élégant vous donne une belle apparence - Compatible avec certains appareils PC, MAC et Android - Dimensions: 75 x 41 x 11 mm - Poids: 38 g - Couleur Gris - Garantie 1 an"
"Disque Dur SSD interne 2.5"" SATA Mushkin ELEMENT / 1 To","205,000 DT","1 To - Facteur de forme: 2,5""  - Composants de mémoire: Flash NAND 3D - Interface: SATA 6 Go/s - Lecture séquentielle maximale: Jusqu'à 500 Mo/s - Écriture séquentielle maximale: Jusqu'à 450 Mo/s - Trouver du temps: 0,1ms - Flash NAND 3D TLC haute fiabilité - Résistance maximale aux chocs: 1500G - Poids 50 grammes - Garantie 1 an"
Disque Dur Interne SSD M.2 TeamGroup MP33 Pro / 1 To,"205,000 DT","1 To - Interface PCIe 3.0 x4 avec NVMe 1.3 - Vitesses: Jusqu'à 2100 Mbps (en Lecture), jusqu'à 1700 Mbps (en Ecriture) - Dimensions 80 x 22 x 2.3 mm - Garantie 3 ans"
Disque Dur SSD interne M.2 (2280) PCIe Gen4 x4 Mushkin VORTEX / 512 Go,"209,000 DT",512 Go - Facteur de forme: M.2 (2280) - Interface: PCIe Gen4 x4 NVMe 1.4 - Manette: InnoGrit IG5236 - Lecture séquentielle maximale: Jusqu'à 6 750 Mo/s - Écriture séquentielle maximale: Jusqu'à 2635 Mo/s - IOPS en lecture aléatoire maximale de 4K: Jusqu'à 200 000 - IOPS en écriture aléatoire maximale de 4K: Jusqu'à 645 000 - MTBF: 1 500 000 heures - TBW: 250 To - Prise en charge de l'effacement de sécurité NVMe - Flash NAND 3D haute fiabilité - Résistance maximale aux chocs: 1500G - Poids 7g - Garantie 1 an
Disque Dur Interne Patriot SSD P220 SATA III 2.5 / 1 To,"209,000 DT","1 To - Type de disque: SSD - Format de Disque: 2.5 "" - Interface SATA III - Vitesse de lecture: 550 Mo/s - Vitesse d'écriture: 500 Mo/s - Dimensions: 10 x6.99 x 0.7cm - Garantie 3 ans"
Disque Dur Interne SSD MSI SPATIUM M450 PCIe 4.0 NVMe M.2 2280 / 1 To,"216,000 DT","Disque Dur Interne SSD MSI SPATIUM M450 PCIe 4.0 NVMe M.2 - CAPACITÉ 1 To - MÉMOIRE FLASH NON-ET 3D - FACTEUR DE FORME: M.2 2280 - INTERFACE: PCIe Gen4 x4, NVMe 1.4 - DIMENSIONS: 80 x 22 x 2.15 mm - LECTURE SÉQUENTIELLE JUSQU'À 3600 (MO/S) - ÉCRITURE SÉQUENTIELLE JUSQU'À 3000 (MO/S) - Garantie 5 ans"
Disque Dur SSD interne M.2 (2280) PCIe Gen3 x4 Mushkin TEMPEST / 1 To,"219,000 DT","Capacité: 1 To  - Facteur de forme: M.2 (2280) - Composants de mémoire: 3D NAND - Interface: PCIe Gen3 x4 NVMe 1.4 - Manette: InnoGrit IG5216 - Lecture séquentielle maximale: Jusqu'à 3 300 Mo/s - Écriture séquentielle maximale: Jusqu'à 2900 Mo/s - Trouver du temps: 0,1ms - Nombre total d'octets écrits (TBW): 500 To - MTBF: 1 500 000 heures - Résistance maximale aux chocs: 1500G - Poids 7 grammes - Garantie 1 an"
Disque dur externe HIKSEMI T300S / 1To SSD / Gris,"235,000 DT","Disque dur externe HIKSEMI T300S - Capacité de Stockage: 1To - Type de disque dur: SSD - Format : 2.5"" - Vitesse de lecture maximale 560 Mo/s - Vitesse d'écriture maximale 450 Mo/s - Interface USB 3.1 Type C - Matériau du Boîtier Alliage d'aluminium - Antichoc et dissipation thermique - Compatible avec Win/Mac/Android 4.0 ou supérieur, Téléphone Android/tablette Android/PC/ordinateur portable - Format compact - Classique et Durable - Compatibilité intelligente - Dimenssion: 78.3 x 61.4 x12.45 mm - Poids: 48 g - Couleur: Gris - Garantie: 1 an"
